,Experiment,Seed Type,Morphology,Replica,topkd after 1 Labels,topkd after 2 Labels,topkd after 3 Labels,topkd after 4 Labels,topkd after 5 Labels,topkd after 6 Labels,topkd after 7 Labels,topkd after 8 Labels,topkd after 9 Labels,topkd after 10 Labels,topkd after 11 Labels,topkd after 12 Labels,topkd after 13 Labels,topkd after 14 Labels,topkd after 15 Labels,topkd after 16 Labels,topkd after 17 Labels,topkd after 18 Labels,topkd after 19 Labels,topkd after 20 Labels,topkd after 21 Labels,topkd after 22 Labels,topkd after 23 Labels,topkd after 24 Labels,topkd after 25 Labels,topkd after 26 Labels,topkd after 27 Labels,topkd after 28 Labels,topkd after 29 Labels,topkd after 30 Labels,topkd after 31 Labels,topkd after 32 Labels,topkd after 33 Labels,topkd after 34 Labels,topkd after 35 Labels,topkd after 36 Labels,topkd after 37 Labels,topkd after 38 Labels,topkd after 39 Labels,topkd after 40 Labels,topkd after 41 Labels,topkd after 42 Labels,topkd after 43 Labels,topkd after 44 Labels,topkd after 45 Labels,topkd after 46 Labels,topkd after 47 Labels,topkd after 48 Labels,topkd after 49 Labels,topkd after 50 Labels
0,oracle,seeded,liquid,0,,,,,12.415000000000001,9.519416666666668,6.623833333333334,3.728250000000001,0.8326666666666668,0.7994000000000001,0.7661333333333334,0.7328666666666668,0.6996,0.6663333333333333,0.6472,0.6280666666666667,0.6089333333333333,0.5898,0.5706666666666667,0.5526,0.5345333333333333,0.5164666666666666,0.49839999999999995,0.4803333333333333,0.4803333333333333,0.4803333333333333,0.4803333333333333,0.4803333333333333,0.4803333333333333,0.4738666666666666,0.4673999999999999,0.4609333333333333,0.45446666666666663,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.44799999999999995,0.42793333333333333
1,oracle,seeded,liquid,1,,,,,13.251,10.260083333333332,7.269166666666666,4.27825,1.2873333333333332,1.1986666666666665,1.1099999999999999,1.0213333333333332,0.9326666666666666,0.844,0.844,0.844,0.844,0.844,0.844,0.787,0.73,0.673,0.6160000000000001,0.559,0.559,0.559,0.559,0.559,0.559,0.5298,0.5006,0.47140000000000004,0.4422,0.413,0.3984,0.3838,0.3692,0.3546,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
2,oracle,seeded,liquid,2,,,,,5.108333333333333,4.08975,3.0711666666666666,2.052583333333333,1.034,0.9588666666666666,0.8837333333333334,0.8086,0.7334666666666667,0.6583333333333333,0.6424666666666666,0.6266,0.6107333333333334,0.5948666666666668,0.5790000000000001,0.5656666666666668,0.5523333333333333,0.539,0.5256666666666666,0.5123333333333333,0.49853333333333333,0.48473333333333335,0.4709333333333333,0.45713333333333334,0.44333333333333336,0.44333333333333336,0.44333333333333336,0.44333333333333336,0.44333333333333336,0.44333333333333336,0.44333333333333336,0.44333333333333336,0.44333333333333336,0.44333333333333336,0.44333333333333336,0.4354,0.42746666666666666,0.41953333333333337,0.4116,0.4036666666666667,0.4036666666666667,0.4036666666666667,0.4036666666666667,0.4036666666666667,0.4036666666666667,0.39826666666666666
3,oracle,seeded,liquid,3,,,,,11.065666666666667,8.433083333333334,5.8005,3.1679166666666667,0.5353333333333333,0.5194666666666666,0.5035999999999999,0.4877333333333333,0.47186666666666666,0.45599999999999996,0.45099999999999996,0.446,0.441,0.43600000000000005,0.43100000000000005,0.4276666666666667,0.42433333333333334,0.421,0.41766666666666663,0.4143333333333333,0.4143333333333333,0.4143333333333333,0.4143333333333333,0.4143333333333333,0.4143333333333333,0.4143333333333333,0.4143333333333333,0.4143333333333333,0.4143333333333333,0.4143333333333333,0.4143333333333333,0.4143333333333333,0.4143333333333333,0.4143333333333333,0.4143333333333333,0.4078666666666666,0.4013999999999999,0.3949333333333333,0.3884666666666666,0.38199999999999995,0.3664666666666666,0.3509333333333333,0.3354,0.3198666666666667,0.30433333333333334,0.30433333333333334
4,oracle,seeded,liquid,4,,,,,10.083,7.715083333333333,5.347166666666666,2.9792499999999995,0.6113333333333334,0.5675333333333334,0.5237333333333334,0.4799333333333334,0.4361333333333334,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337,0.39233333333333337
5,oracle,seeded,string,0,,,,,3.862666666666667,3.569166666666667,3.275666666666667,2.982166666666667,2.6886666666666668,2.4781333333333335,2.2676,2.0570666666666666,1.8465333333333334,1.636,1.5826666666666667,1.5293333333333332,1.476,1.4226666666666665,1.3693333333333333,1.3693333333333333,1.3693333333333333,1.3693333333333333,1.3693333333333333,1.3693333333333333,1.3693333333333333,1.3693333333333333,1.3693333333333333,1.3693333333333333,1.3693333333333333,1.1848666666666667,1.0004,0.8159333333333334,0.6314666666666667,0.447,0.447,0.447,0.447,0.447,0.447,0.4179333333333333,0.3888666666666667,0.3598,0.3307333333333333,0.3016666666666667,0.3016666666666667,0.3016666666666667,0.3016666666666667,0.3016666666666667,0.3016666666666667,0.2995333333333334
6,oracle,seeded,string,1,,,,,5.0713333333333335,4.441083333333333,3.810833333333333,3.1805833333333333,2.550333333333333,2.473933333333333,2.397533333333333,2.3211333333333335,2.2447333333333335,2.1683333333333334,2.156066666666667,2.1438,2.131533333333333,2.1192666666666664,2.1069999999999998,2.0154666666666663,1.923933333333333,1.8323999999999998,1.7408666666666663,1.649333333333333,1.4857999999999998,1.3222666666666665,1.1587333333333332,0.9952,0.8316666666666667,0.7910666666666667,0.7504666666666667,0.7098666666666666,0.6692666666666667,0.6286666666666667,0.6286666666666667,0.6286666666666667,0.6286666666666667,0.6286666666666667,0.6286666666666667,0.6286666666666667,0.6286666666666667,0.6286666666666667,0.6286666666666667,0.6286666666666667,0.6286666666666667,0.6286666666666667,0.6286666666666667,0.6286666666666667,0.6286666666666667,0.5718666666666667
7,oracle,seeded,string,2,,,,,8.447000000000001,6.662750000000001,4.878500000000001,3.0942500000000006,1.31,1.1507333333333334,0.9914666666666667,0.8321999999999999,0.6729333333333333,0.5136666666666666,0.4837333333333333,0.4538,0.42386666666666667,0.39393333333333336,0.36400000000000005,0.35200000000000004,0.34,0.328,0.316,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304
8,oracle,seeded,string,3,,,,,6.154333333333334,5.287916666666667,4.4215,3.5550833333333336,2.6886666666666668,2.5846,2.4805333333333333,2.3764666666666665,2.2724,2.1683333333333334,2.1096666666666666,2.051,1.9923333333333333,1.9336666666666666,1.875,1.7234,1.5718,1.4202,1.2686,1.117,0.9544,0.7918000000000001,0.6292,0.4666,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.2878,0.2716,0.2554,0.2392,0.223,0.223,0.223,0.223,0.223,0.223,0.223
9,oracle,seeded,string,4,,,,,4.0169999999999995,3.6126666666666662,3.208333333333333,2.804,2.3996666666666666,2.3996666666666666,2.3996666666666666,2.3996666666666666,2.3996666666666666,2.3996666666666666,2.3534,2.3071333333333333,2.260866666666667,2.2146,2.1683333333333334,1.8998666666666668,1.6314000000000002,1.3629333333333333,1.0944666666666667,0.826,0.6983999999999999,0.5708,0.4432,0.3156,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003,0.18800000000000003
10,oracle,seeded,membrane,0,,,,,5.2973333333333334,4.745833333333334,4.194333333333334,3.6428333333333334,3.0913333333333335,3.0769333333333333,3.0625333333333336,3.0481333333333334,3.0337333333333336,3.0193333333333334,2.7794,2.5394666666666668,2.299533333333333,2.0595999999999997,1.8196666666666665,1.8196666666666665,1.8196666666666665,1.8196666666666665,1.8196666666666665,1.8196666666666665,1.7631333333333332,1.7066,1.6500666666666666,1.5935333333333332,1.537,1.4671333333333332,1.3972666666666667,1.3274,1.2575333333333334,1.1876666666666666,1.1578,1.1279333333333332,1.0980666666666667,1.0682,1.0383333333333333,1.028,1.0176666666666667,1.0073333333333334,0.997,0.9866666666666667,0.8779333333333333,0.7692,0.6604666666666666,0.5517333333333333,0.443,0.443
11,oracle,seeded,membrane,1,,,,,4.129666666666666,3.7867499999999996,3.443833333333333,3.100916666666667,2.7580000000000005,2.5684000000000005,2.3788,2.1892,1.9996,1.8099999999999998,1.6594,1.5088,1.3582,1.2076000000000002,1.0570000000000002,0.9698000000000001,0.8826,0.7954000000000001,0.7082,0.621,0.6043333333333333,0.5876666666666667,0.571,0.5543333333333333,0.5376666666666666,0.5376666666666666,0.5376666666666666,0.5376666666666666,0.5376666666666666,0.5376666666666666,0.5244,0.5111333333333333,0.4978666666666667,0.4846,0.4713333333333333,0.4713333333333333,0.4713333333333333,0.4713333333333333,0.4713333333333333,0.4713333333333333,0.4713333333333333,0.4713333333333333,0.4713333333333333,0.4713333333333333,0.4713333333333333,0.4713333333333333
12,oracle,seeded,membrane,2,,,,,10.405333333333333,8.54825,6.691166666666667,4.834083333333334,2.9770000000000003,2.841066666666667,2.7051333333333334,2.5692,2.4332666666666665,2.297333333333333,2.115533333333333,1.933733333333333,1.751933333333333,1.570133333333333,1.388333333333333,1.3454666666666664,1.3025999999999998,1.2597333333333331,1.2168666666666665,1.174,1.174,1.174,1.174,1.174,1.174,1.1287333333333334,1.0834666666666666,1.0382,0.9929333333333333,0.9476666666666667,0.8931333333333333,0.8386,0.7840666666666667,0.7295333333333333,0.6749999999999999,0.6246666666666666,0.5743333333333333,0.524,0.4736666666666667,0.42333333333333334,0.4099333333333333,0.39653333333333335,0.3831333333333333,0.36973333333333336,0.35633333333333334,0.35633333333333334
13,oracle,seeded,membrane,3,,,,,9.488666666666667,8.319416666666667,7.150166666666667,5.980916666666666,4.8116666666666665,4.1546,3.497533333333333,2.840466666666667,2.1834000000000002,1.5263333333333335,1.4336000000000002,1.3408666666666669,1.2481333333333335,1.1554,1.0626666666666666,0.9717333333333333,0.8808,0.7898666666666666,0.6989333333333333,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.5883333333333333,0.5686666666666667,0.5489999999999999,0.5293333333333333,0.5096666666666666,0.5096666666666666
14,oracle,seeded,membrane,4,,,,,9.119666666666667,7.7674166666666675,6.415166666666667,5.062916666666666,3.7106666666666666,3.138733333333333,2.5667999999999997,1.9948666666666668,1.4229333333333334,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.8221999999999999,0.7934,0.7646,0.7358,0.707,0.6876
15,oracle,seeded,vesicle,0,,,,,6.9353333333333325,6.1187499999999995,5.3021666666666665,4.485583333333333,3.669,3.669,3.669,3.669,3.669,3.669,3.2876666666666665,2.9063333333333334,2.525,2.1436666666666664,1.7623333333333333,1.6051333333333333,1.4479333333333333,1.2907333333333333,1.1335333333333333,0.9763333333333334,0.9261333333333334,0.8759333333333333,0.8257333333333334,0.7755333333333334,0.7253333333333334,0.7253333333333334,0.7253333333333334,0.7253333333333334,0.7253333333333334,0.7253333333333334,0.7226666666666667,0.7200000000000001,0.7173333333333334,0.7146666666666668,0.7120000000000001,0.7120000000000001,0.7120000000000001,0.7120000000000001,0.7120000000000001,0.7120000000000001,0.7120000000000001,0.7120000000000001,0.7120000000000001,0.7120000000000001,0.7120000000000001,0.7120000000000001
16,oracle,seeded,vesicle,1,,,,,3.66,3.4829166666666667,3.305833333333333,3.12875,2.9516666666666667,2.9004666666666665,2.8492666666666664,2.7980666666666667,2.7468666666666666,2.6956666666666664,2.6956666666666664,2.6956666666666664,2.6956666666666664,2.6956666666666664,2.6956666666666664,2.4510666666666667,2.2064666666666666,1.9618666666666666,1.7172666666666667,1.4726666666666668,1.4448,1.4169333333333334,1.3890666666666667,1.3612,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.2489999999999999,1.1646666666666665,1.0803333333333334,0.996,0.9116666666666666,0.8151333333333333,0.7185999999999999,0.6220666666666667,0.5255333333333333,0.429,0.4242666666666667,0.4195333333333333,0.4148,0.41006666666666663,0.4053333333333333,0.4053333333333333
17,oracle,seeded,vesicle,2,,,,,6.383666666666667,5.765333333333333,5.147,4.528666666666666,3.9103333333333334,3.3544666666666667,2.7986,2.2427333333333332,1.6868666666666665,1.131,1.1104,1.0898,1.0692,1.0486,1.028,1.028,1.028,1.028,1.028,1.028,1.028,1.028,1.028,1.028,1.028,1.028,1.028,1.028,1.028,1.028,1.0153333333333334,1.0026666666666666,0.99,0.9773333333333334,0.9646666666666667,0.9646666666666667,0.9646666666666667,0.9646666666666667,0.9646666666666667,0.9646666666666667,0.8914,0.8181333333333334,0.7448666666666667,0.6716,0.5983333333333333,0.5983333333333333
