,Experiment,Seed Type,Morphology,Replica,topkd after 1 Labels,topkd after 2 Labels,topkd after 3 Labels,topkd after 4 Labels,topkd after 5 Labels,topkd after 6 Labels,topkd after 7 Labels,topkd after 8 Labels,topkd after 9 Labels,topkd after 10 Labels,topkd after 11 Labels,topkd after 12 Labels,topkd after 13 Labels,topkd after 14 Labels,topkd after 15 Labels,topkd after 16 Labels,topkd after 17 Labels,topkd after 18 Labels,topkd after 19 Labels,topkd after 20 Labels,topkd after 21 Labels,topkd after 22 Labels,topkd after 23 Labels,topkd after 24 Labels,topkd after 25 Labels,topkd after 26 Labels,topkd after 27 Labels,topkd after 28 Labels,topkd after 29 Labels,topkd after 30 Labels,topkd after 31 Labels,topkd after 32 Labels,topkd after 33 Labels,topkd after 34 Labels,topkd after 35 Labels,topkd after 36 Labels,topkd after 37 Labels,topkd after 38 Labels,topkd after 39 Labels,topkd after 40 Labels,topkd after 41 Labels,topkd after 42 Labels,topkd after 43 Labels,topkd after 44 Labels,topkd after 45 Labels,topkd after 46 Labels,topkd after 47 Labels,topkd after 48 Labels,topkd after 49 Labels,topkd after 50 Labels
0,oracle,seeded,liquid,0,,,,,11.443999999999997,8.84408333333333,6.244166666666665,3.6442499999999987,1.0443333333333333,0.9233333333333333,0.8023333333333333,0.6813333333333333,0.5603333333333333,0.43933333333333335,0.41126666666666667,0.3832,0.3551333333333333,0.32706666666666667,0.299,0.2834,0.2678,0.2522,0.2366,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.21993333333333334,0.21886666666666668,0.2178,0.21673333333333333,0.21566666666666667,0.21566666666666667,0.21566666666666667,0.21566666666666667,0.21566666666666667,0.21566666666666667,0.21566666666666667,0.21566666666666667,0.21566666666666667,0.21566666666666667,0.21566666666666667,0.21566666666666667
1,oracle,seeded,liquid,1,,,,,15.639666666666665,11.990833333333331,8.341999999999999,4.693166666666665,1.0443333333333333,0.9233333333333333,0.8023333333333333,0.6813333333333333,0.5603333333333333,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.43933333333333335,0.4196666666666667,0.4,0.38033333333333336,0.3606666666666667,0.341,0.341,0.341,0.341,0.341,0.341,0.341
2,oracle,seeded,liquid,2,,,,,7.6176666666666675,5.904416666666667,4.191166666666668,2.477916666666667,0.7646666666666667,0.7188,0.6729333333333334,0.6270666666666667,0.5811999999999999,0.5353333333333333,0.5353333333333333,0.5353333333333333,0.5353333333333333,0.5353333333333333,0.5353333333333333,0.5353333333333333,0.5353333333333333,0.5353333333333333,0.5353333333333333,0.5353333333333333,0.5353333333333333,0.5353333333333333,0.5353333333333333,0.5353333333333333,0.5353333333333333,0.5111333333333333,0.48693333333333333,0.46273333333333333,0.4385333333333333,0.4143333333333333,0.39959999999999996,0.38486666666666663,0.3701333333333333,0.3554,0.3406666666666667,0.3406666666666667,0.3406666666666667,0.3406666666666667,0.3406666666666667,0.3406666666666667,0.3406666666666667,0.3406666666666667,0.3406666666666667,0.3406666666666667,0.3406666666666667,0.3406666666666667
3,oracle,seeded,liquid,3,,,,,9.373666666666667,7.238416666666667,5.103166666666667,2.9679166666666665,0.8326666666666668,0.7814666666666668,0.7302666666666667,0.6790666666666667,0.6278666666666667,0.5766666666666667,0.5594,0.5421333333333334,0.5248666666666667,0.5076,0.49033333333333334,0.49033333333333334,0.49033333333333334,0.49033333333333334,0.49033333333333334,0.49033333333333334,0.49033333333333334,0.49033333333333334,0.49033333333333334,0.49033333333333334,0.49033333333333334,0.4716,0.4528666666666667,0.43413333333333337,0.4154,0.39666666666666667,0.395,0.39333333333333337,0.39166666666666666,0.39,0.38833333333333336,0.38833333333333336,0.38833333333333336,0.38833333333333336,0.38833333333333336,0.38833333333333336,0.38833333333333336,0.38833333333333336,0.38833333333333336,0.38833333333333336,0.38833333333333336,0.38833333333333336
4,oracle,seeded,liquid,4,,,,,9.472333333333333,7.295416666666666,5.1185,2.941583333333334,0.7646666666666667,0.7188,0.6729333333333334,0.6270666666666667,0.5811999999999999,0.5353333333333333,0.5194666666666666,0.5035999999999999,0.4877333333333333,0.47186666666666666,0.45599999999999996,0.4118666666666666,0.3677333333333333,0.3236,0.27946666666666664,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333,0.2353333333333333
5,oracle,seeded,string,0,,,,,6.743666666666667,5.38525,4.026833333333333,2.6684166666666664,1.31,1.1088,0.9076000000000001,0.7064000000000001,0.5052000000000001,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.2961333333333333,0.28826666666666667,0.2804,0.27253333333333335,0.26466666666666666,0.2563333333333333,0.248,0.23966666666666667,0.23133333333333334,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.2178
6,oracle,seeded,string,1,,,,,3.669333333333333,3.294083333333333,2.918833333333333,2.5435833333333333,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.0684666666666667,1.9686,1.8687333333333331,1.7688666666666666,1.6689999999999998,1.5329333333333333,1.3968666666666665,1.2608,1.1247333333333334,0.9886666666666667,0.9100666666666667,0.8314666666666667,0.7528666666666667,0.6742666666666667,0.5956666666666667,0.5634666666666667,0.5312666666666667,0.4990666666666667,0.4668666666666667,0.4346666666666667,0.4346666666666667,0.4346666666666667,0.4346666666666667,0.4346666666666667,0.4346666666666667,0.4066,0.37853333333333333,0.3504666666666667,0.3224,0.29433333333333334,0.2876666666666667
7,oracle,seeded,string,2,,,,,7.3806666666666665,5.939583333333333,4.4985,3.0574166666666667,1.6163333333333334,1.4444000000000001,1.2724666666666669,1.1005333333333334,0.9286000000000001,0.7566666666666667,0.7392666666666667,0.7218666666666667,0.7044666666666667,0.6870666666666666,0.6696666666666666,0.6696666666666666,0.6696666666666666,0.6696666666666666,0.6696666666666666,0.6696666666666666,0.6696666666666666,0.6696666666666666,0.6696666666666666,0.6696666666666666,0.6696666666666666,0.6696666666666666,0.6696666666666666,0.6696666666666666,0.6696666666666666,0.6696666666666666,0.6496666666666666,0.6296666666666666,0.6096666666666667,0.5896666666666667,0.5696666666666667,0.5384,0.5071333333333333,0.47586666666666666,0.4446,0.41333333333333333,0.4028,0.39226666666666665,0.3817333333333333,0.3712,0.36066666666666664,0.3491333333333333
8,oracle,seeded,string,3,,,,,7.906999999999999,6.25775,4.608499999999999,2.95925,1.31,1.1208,0.9316000000000001,0.7424000000000002,0.5532000000000001,0.36400000000000005,0.3470666666666667,0.3301333333333334,0.31320000000000003,0.2962666666666667,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.2793333333333334,0.27253333333333335
9,oracle,seeded,string,4,,,,,5.104333333333333,4.370333333333333,3.636333333333333,2.9023333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,2.1683333333333334,1.9439333333333335,1.7195333333333334,1.4951333333333334,1.2707333333333333,1.0463333333333333,0.957,0.8676666666666667,0.7783333333333333,0.6890000000000001,0.5996666666666667,0.4975833333333334,0.3955,0.29341666666666666,0.19133333333333336,0.19133333333333336,0.19133333333333336,0.19133333333333336,0.19133333333333336,0.19133333333333336,0.19133333333333336,0.19133333333333336,0.19133333333333336,0.19133333333333336,0.19133333333333336,0.19133333333333336,0.19133333333333336,0.19133333333333336,0.19133333333333336,0.19133333333333336,0.19133333333333336,0.19133333333333336
10,oracle,seeded,membrane,0,,,,,7.82,6.898133333333334,5.976266666666667,5.0544,4.132533333333333,3.210666666666667,2.944866666666667,2.679066666666667,2.413266666666667,2.1474666666666664,1.8816666666666666,1.8816666666666666,1.8816666666666666,1.8816666666666666,1.8816666666666666,1.7857333333333332,1.6898,1.5938666666666665,1.4979333333333331,1.402,1.3292666666666666,1.2565333333333333,1.1838,1.1110666666666666,1.0383333333333333,1.0383333333333333,1.0383333333333333,1.0383333333333333,1.0383333333333333,1.0383333333333333,0.9745333333333334,0.9107333333333333,0.8469333333333333,0.7831333333333332,0.7193333333333333,0.7193333333333333,0.7193333333333333,0.7193333333333333,0.7193333333333333,0.7193333333333333,0.7193333333333333,0.7193333333333333,0.7193333333333333,0.7193333333333333,0.7193333333333333,0.7193333333333333
